time,n_soil,p_soil,k_soil
23/09/22 12:15,0,0,0
23/09/22 12:13,0,0,0
23/09/22 12:11,0,0,0
23/09/22 12:09,0,0,0
23/09/22 12:07,0,0,0
23/09/22 12:05,0,0,0
23/09/22 12:03,0,0,0
23/09/22 12:01,0,0,0
23/09/22 11:59,0,0,0
23/09/22 11:57,0,0,0
23/09/22 11:55,0,0,0
23/09/22 11:53,0,0,0
23/09/22 11:51,0,0,0
23/09/22 11:49,0,0,0
23/09/22 11:47,0,0,0
23/09/22 11:45,0,0,0
23/09/22 11:43,0,0,0
23/09/22 11:41,0,0,0
23/09/22 11:39,0,0,0
23/09/22 11:37,0,0,0
23/09/22 11:35,0,0,0
23/09/22 11:33,0,0,0
23/09/22 11:31,0,0,0
23/09/22 11:29,0,0,0
23/09/22 11:27,0,0,0
23/09/22 11:25,0,0,0
23/09/22 11:23,0,0,0
23/09/22 11:21,0,0,0
23/09/22 11:19,0,0,0
23/09/22 11:17,0,0,0
23/09/22 11:15,0,0,0
23/09/22 11:13,0,0,0
23/09/22 11:11,0,0,0
23/09/22 11:09,0,0,0
23/09/22 11:07,0,0,0
23/09/22 11:05,0,0,0
23/09/22 11:03,0,0,0
23/09/22 11:01,0,0,0
23/09/22 10:59,0,0,0
23/09/22 10:57,0,0,0
23/09/22 10:55,0,0,0
23/09/22 10:53,0,0,0
23/09/22 10:51,0,0,0
23/09/22 10:49,0,0,0
23/09/22 10:47,0,0,0
23/09/22 10:45,0,0,0
23/09/22 10:43,0,0,0
23/09/22 10:41,0,0,0
23/09/22 10:39,0,0,0
23/09/22 10:37,0,0,0
23/09/22 10:35,0,0,0
23/09/22 10:33,0,0,0
23/09/22 10:31,0,0,0
23/09/22 10:29,0,0,0
23/09/22 10:27,0,0,0
23/09/22 10:25,0,0,0
23/09/22 10:23,0,0,0
23/09/22 10:21,0,0,0
23/09/22 10:19,0,0,0
23/09/22 10:17,0,0,0
23/09/22 10:15,0,0,0
23/09/22 10:13,0,0,0
23/09/22 10:11,0,0,0
23/09/22 10:09,0,0,0
23/09/22 10:07,0,0,0
23/09/22 10:05,0,0,0
23/09/22 10:03,0,0,0
23/09/22 10:01,0,0,0
23/09/22 09:59,0,0,0
23/09/22 09:57,0,0,0
23/09/22 09:55,0,0,0
23/09/22 09:53,0,0,0
23/09/22 09:51,0,0,0
27/08/22 15:16,0,0,0
27/08/22 15:14,0,0,0
27/08/22 15:12,0,0,0
27/08/22 15:10,0,0,0
27/08/22 15:08,0,0,0
27/08/22 15:06,0,0,0
27/08/22 15:04,0,0,0
27/08/22 15:02,0,0,0
27/08/22 15:00,0,0,0
27/08/22 14:58,0,0,0
27/08/22 14:56,0,0,0
27/08/22 14:54,0,0,0
27/08/22 14:52,0,0,0
27/08/22 14:50,0,0,0
27/08/22 14:48,0,0,0
27/08/22 14:46,0,0,0
27/08/22 14:44,0,0,0
27/08/22 14:42,0,0,0
27/08/22 14:40,0,0,0
27/08/22 14:38,0,0,0
27/08/22 14:36,0,0,0
27/08/22 14:34,0,0,0
27/08/22 14:32,0,0,0
27/08/22 14:30,0,0,0
27/08/22 14:28,0,0,0
27/08/22 14:26,0,0,0
27/08/22 14:24,0,0,0
27/08/22 14:22,0,0,0
27/08/22 14:20,0,0,0
27/08/22 14:18,0,0,0
27/08/22 14:14,0,0,0
27/08/22 14:12,0,0,0
27/08/22 14:10,0,0,0
27/08/22 14:08,0,0,0
27/08/22 14:06,0,0,0
27/08/22 14:04,0,0,0
27/08/22 14:02,0,0,0
27/08/22 14:00,0,0,0
27/08/22 13:58,0,0,0
27/08/22 13:56,0,0,0
27/08/22 13:54,0,0,0
27/08/22 13:52,0,0,0
27/08/22 13:50,0,0,0
27/08/22 13:48,0,0,0
27/08/22 13:46,0,0,0
27/08/22 13:44,0,0,0
27/08/22 13:42,0,0,0
27/08/22 13:40,0,0,0
27/08/22 13:38,0,0,0
27/08/22 13:36,0,0,256
27/08/22 13:34,5888,8192,16640
27/08/22 13:32,5888,8192,16640
27/08/22 13:30,5888,8192,16640
27/08/22 13:28,5888,8192,16640
27/08/22 13:26,5632,7680,15616
27/08/22 13:24,5888,8192,16640
27/08/22 13:22,5888,8192,16640
27/08/22 13:20,5888,8192,16640
27/08/22 13:18,5888,8192,16640
27/08/22 13:16,5888,8192,16640
27/08/22 13:14,5888,8192,16640
27/08/22 13:12,5888,8192,16640
27/08/22 13:10,5888,8192,16640
27/08/22 13:08,5888,8192,16640
27/08/22 13:06,5888,8192,16640
27/08/22 13:04,5888,8192,16640
27/08/22 13:02,5888,8192,16640
27/08/22 13:00,5888,8192,16640
27/08/22 12:58,5888,8192,16640
27/08/22 12:56,5888,8192,16640
27/08/22 12:54,5888,8192,16640
27/08/22 12:52,5888,8192,16640
27/08/22 12:50,5888,8192,16640
27/08/22 12:48,5888,8192,16640
27/08/22 12:46,5888,8192,16640
27/08/22 12:44,5888,8192,16640
27/08/22 12:42,5888,8192,16640
27/08/22 12:40,5888,8192,16640
27/08/22 12:38,5888,8192,16640
27/08/22 12:36,5888,8192,16640
27/08/22 12:34,5888,8192,16640
27/08/22 12:32,5888,8192,16384
27/08/22 12:30,5888,8192,16384
27/08/22 12:28,5888,8192,16384
27/08/22 12:26,5888,8192,16384
27/08/22 12:24,5888,8192,16384
27/08/22 12:22,5888,8192,16384
27/08/22 12:20,5888,8192,16384
27/08/22 12:18,5888,8192,16384
27/08/22 12:16,5376,7680,15616
27/08/22 12:14,5888,8192,16384
27/08/22 12:12,5888,8192,16384
27/08/22 12:10,5888,8192,16384
27/08/22 12:08,5888,8192,16384
27/08/22 12:06,5888,8192,16384
27/08/22 12:04,5888,8192,16384
27/08/22 12:02,5632,8192,16384
27/08/22 12:00,5632,8192,16384
27/08/22 11:58,5632,7936,16128
27/08/22 11:56,6144,8448,17152
27/08/22 11:45,0,0,256
27/08/22 11:35,0,0,256
